<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: me.jingqian.mix.receiver.JingqianSMSReceiver dummyMainMethod_me_jingqian_mix_receiver_JingqianSMSReceiver(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: me.jingqian.mix.service.JingqianCoreService dummyMainMethod_me_jingqian_mix_service_JingqianCoreService(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: me.jingqian.mix.receiver.JingqianLockReceiver dummyMainMethod_me_jingqian_mix_receiver_JingqianLockReceiver(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: me.jingqian.mix.receiver.JingqianPhoneListener dummyMainMethod_me_jingqian_mix_receiver_JingqianPhoneListener(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: me.jingqian.mix.receiver.JingqianBootBroadcastReceiver dummyMainMethod_me_jingqian_mix_receiver_JingqianBootBroadcastReceiver(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: me.jingqian.mix.JingqianMainActivity dummyMainMethod_me_jingqian_mix_JingqianMainActivity(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver dummyMainMethod_me_jingqian_mix_service_JingqianCoreService$MyBroadcastReciver(android.content.Intent)>
<dummyMainClass: me.jingqian.mix.service.JingqianCoreService dummyMainMethod_me_jingqian_mix_service_JingqianCoreService(android.content.Intent)> -> <me.jingqian.mix.service.JingqianCoreService: void <clinit>()>
<dummyMainClass: me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver dummyMainMethod_me_jingqian_mix_service_JingqianCoreService$MyBroadcastReciver(android.content.Intent)> -> <me.jingqian.mix.service.JingqianCoreService: void <clinit>()>
<dummyMainClass: me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver dummyMainMethod_me_jingqian_mix_service_JingqianCoreService$MyBroadcastReciver(android.content.Intent)> -> <me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver: void <init>(me.jingqian.mix.service.JingqianCoreService)>
<dummyMainClass: me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver dummyMainMethod_me_jingqian_mix_service_JingqianCoreService$MyBroadcastReciver(android.content.Intent)> -> <me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver: void onReceive(android.content.Context,android.content.Intent)>
<me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver: void onReceive(android.content.Context,android.content.Intent)> -> <me.jingqian.mix.util.Config: void <clinit>()>
<me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver: void onReceive(android.content.Context,android.content.Intent)> -> <me.jingqian.mix.service.JingqianCoreService: void uninstallAPK(java.lang.String)>
<me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver: void onReceive(android.content.Context,android.content.Intent)> -> <java.lang.String: java.lang.String valueOf(java.lang.Object)>
<me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver: void onReceive(android.content.Context,android.content.Intent)> -> <me.jingqian.mix.service.JingqianCoreService: void showNofity(java.lang.String,java.lang.String,java.lang.String,int)>
<me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver: void onReceive(android.content.Context,android.content.Intent)> -> <me.jingqian.mix.httptool.HttpDownLoad: java.io.File downLoadFile(java.lang.String)>
<me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver: void onReceive(android.content.Context,android.content.Intent)> -> <me.jingqian.mix.service.JingqianCoreService: void <clinit>()>
<me.jingqian.mix.service.JingqianCoreService$MyBroadcastReciver: void onReceive(android.content.Context,android.content.Intent)> -> <java.lang.String: void <clinit>()>
<me.jingqian.mix.util.Config: void <clinit>()> -> <java.lang.String: void <clinit>()>
<me.jingqian.mix.util.Config: void <clinit>()> -> <java.lang.String: java.lang.String valueOf(java.lang.Object)>
<me.jingqian.mix.service.JingqianCoreService: void uninstallAPK(java.lang.String)> -> <me.jingqian.mix.service.JingqianCoreService: void <clinit>()>
<me.jingqian.mix.service.JingqianCoreService: void showNofity(java.lang.String,java.lang.String,java.lang.String,int)> -> <me.jingqian.mix.service.JingqianCoreService: void <clinit>()>
<me.jingqian.mix.httptool.HttpDownLoad: java.io.File downLoadFile(java.lang.String)> -> <java.lang.String: void <clinit>()>
<me.jingqian.mix.httptool.HttpDownLoad: java.io.File downLoadFile(java.lang.String)> -> <java.lang.String: java.lang.String valueOf(java.lang.Object)>
<me.jingqian.mix.httptool.HttpDownLoad: java.io.File downLoadFile(java.lang.String)> -> <me.jingqian.mix.util.Config: java.lang.String getSDPath()>
<me.jingqian.mix.httptool.HttpDownLoad: java.io.File downLoadFile(java.lang.String)> -> <java.lang.String: java.lang.String valueOf(long)>
<me.jingqian.mix.httptool.HttpDownLoad: java.io.File downLoadFile(java.lang.String)> -> <me.jingqian.mix.util.Config: void <clinit>()>
<java.lang.String: java.lang.String valueOf(long)> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<java.lang.RuntimeException: void <init>(java.lang.String)> -> <java.lang.Exception: void <init>()>
